rank,subject,subject_label,object,object_label,resnik,cosine
1,HP:0032505,Hydrophobia,HP:0030411,Jejunal adenocarcinoma,6.503688684365201,0.08564569345195892
2,HP:0030411,Jejunal adenocarcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.08564569345195892
3,HP:0030412,Ileal adenocarcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.08754131169188435
4,HP:0032505,Hydrophobia,HP:0030412,Ileal adenocarcinoma,6.503688684365201,0.08754131169188435
5,HP:0025075,Increased QRS voltage,HP:0002249,Melena,6.239273048133048,0.08762401031713686
6,HP:0002249,Melena,HP:0025075,Increased QRS voltage,6.239273048133048,0.08762401031713686
7,HP:0032505,Hydrophobia,HP:0030441,Anal margin Paget's disease,6.503688684365201,0.0921881294195198
8,HP:0030441,Anal margin Paget's disease,HP:0032505,Hydrophobia,6.503688684365201,0.0921881294195198
9,HP:0010517,Ectopic thymus tissue,HP:0008205,Insulin-dependent but ketosis-resistant diabetes,6.060935806874535,0.09346057691213228
10,HP:0008205,Insulin-dependent but ketosis-resistant diabetes,HP:0010517,Ectopic thymus tissue,6.060935806874535,0.09346057691213228
11,HP:0030442,Anal margin squamous cell carcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.10002185297973351
12,HP:0032505,Hydrophobia,HP:0030442,Anal margin squamous cell carcinoma,6.503688684365201,0.10002185297973351
13,HP:0002249,Melena,HP:0033566,Abnormal ventricular axis,6.239273048133048,0.10092434064380887
14,HP:0033566,Abnormal ventricular axis,HP:0002249,Melena,6.239273048133048,0.10092434064380887
15,HP:0025241,Flame-shaped retinal hemorrhage,HP:0033533,Increased cardiac output,8.83810772343576,0.10168303653623215
16,HP:0033533,Increased cardiac output,HP:0025241,Flame-shaped retinal hemorrhage,8.83810772343576,0.10168303653623215
17,HP:0032505,Hydrophobia,HP:0032187,Anal intraepithelial neoplasia,6.503688684365201,0.10219872848031256
18,HP:0032187,Anal intraepithelial neoplasia,HP:0032505,Hydrophobia,6.503688684365201,0.10219872848031256
19,HP:0031611,Sub-inner limiting membrane hemorrhage,HP:0033566,Abnormal ventricular axis,6.239273048133048,0.10486105391292308
20,HP:0033566,Abnormal ventricular axis,HP:0031611,Sub-inner limiting membrane hemorrhage,6.239273048133048,0.10486105391292308
21,HP:0032505,Hydrophobia,HP:0002044,Zollinger-Ellison syndrome,6.503688684365201,0.10541231270663193
22,HP:0002044,Zollinger-Ellison syndrome,HP:0032505,Hydrophobia,6.503688684365201,0.10541231270663193
23,HP:0010517,Ectopic thymus tissue,HP:0005978,Type II diabetes mellitus,6.060935806874535,0.10541248609034744
24,HP:0005978,Type II diabetes mellitus,HP:0010517,Ectopic thymus tissue,6.060935806874535,0.10541248609034744
25,HP:0031805,Intraretinal hemorrhage,HP:0033566,Abnormal ventricular axis,6.239273048133048,0.10646382250999811
26,HP:0033566,Abnormal ventricular axis,HP:0031805,Intraretinal hemorrhage,6.239273048133048,0.10646382250999811
27,HP:0033567,Right axis deviation,HP:0002249,Melena,6.239273048133048,0.10705865229784878
28,HP:0002249,Melena,HP:0033567,Right axis deviation,6.239273048133048,0.10705865229784878
29,HP:0031927,Flexner-Wintersteiner rosette,HP:0410233,Increased anti-meat allergen IgE antibody level,6.6751691523095555,0.10878985527349679
30,HP:0410233,Increased anti-meat allergen IgE antibody level,HP:0031927,Flexner-Wintersteiner rosette,6.6751691523095555,0.10878985527349679
31,HP:0033533,Increased cardiac output,HP:0031611,Sub-inner limiting membrane hemorrhage,8.83810772343576,0.10999844715272267
32,HP:0031611,Sub-inner limiting membrane hemorrhage,HP:0033533,Increased cardiac output,8.83810772343576,0.10999844715272267
33,HP:0031598,Notched P wave,HP:0002249,Melena,6.239273048133048,0.1100645240973218
34,HP:0002249,Melena,HP:0031598,Notched P wave,6.239273048133048,0.1100645240973218
35,HP:0033533,Increased cardiac output,HP:0002249,Melena,8.83810772343576,0.11006473697657014
36,HP:0002249,Melena,HP:0033533,Increased cardiac output,8.83810772343576,0.11006473697657014
37,HP:0025582,Submacular hemorrhage,HP:0033566,Abnormal ventricular axis,6.239273048133048,0.1103031810190535
38,HP:0033566,Abnormal ventricular axis,HP:0025582,Submacular hemorrhage,6.239273048133048,0.1103031810190535
39,HP:0002249,Melena,HP:0004752,Congenital atrioventricular dissociation,6.239273048133048,0.11068574567820982
40,HP:0004752,Congenital atrioventricular dissociation,HP:0002249,Melena,6.239273048133048,0.11068574567820982
41,HP:0012272,J wave,HP:0040223,Pulmonary hemorrhage,6.239273048133048,0.11068589907096207
42,HP:0040223,Pulmonary hemorrhage,HP:0012272,J wave,6.239273048133048,0.11068589907096207
43,HP:0006677,Prolonged QRS complex,HP:0032990,Localized pulmonary hemorrhage,6.239273048133048,0.11204862466004754
44,HP:0032990,Localized pulmonary hemorrhage,HP:0006677,Prolonged QRS complex,6.239273048133048,0.11204862466004754
45,HP:0010517,Ectopic thymus tissue,HP:0000831,Insulin-resistant diabetes mellitus,6.060935806874535,0.11286118255553465
46,HP:0000831,Insulin-resistant diabetes mellitus,HP:0010517,Ectopic thymus tissue,6.060935806874535,0.11286118255553465
47,HP:0032505,Hydrophobia,HP:0040274,Adenocarcinoma of the small intestine,6.503688684365201,0.11440142159404124
48,HP:0040274,Adenocarcinoma of the small intestine,HP:0032505,Hydrophobia,6.503688684365201,0.11440142159404124
49,HP:0002245,Meckel diverticulum,HP:0032505,Hydrophobia,6.503688684365201,0.1147646158943086
50,HP:0032505,Hydrophobia,HP:0002245,Meckel diverticulum,6.503688684365201,0.1147646158943086
51,HP:0008205,Insulin-dependent but ketosis-resistant diabetes,HP:0000777,Abnormal thymus morphology,6.060935806874535,0.1148867825143389
52,HP:0000777,Abnormal thymus morphology,HP:0008205,Insulin-dependent but ketosis-resistant diabetes,6.060935806874535,0.1148867825143389
53,HP:0033569,Extreme axis deviation,HP:0002249,Melena,6.239273048133048,0.11499462672302037
54,HP:0002249,Melena,HP:0033569,Extreme axis deviation,6.239273048133048,0.11499462672302037
55,HP:0032505,Hydrophobia,HP:0033433,Ileocecal ulcer,6.503688684365201,0.11555921781231052
56,HP:0033433,Ileocecal ulcer,HP:0032505,Hydrophobia,6.503688684365201,0.11555921781231052
57,HP:0000694,Odontodysplasia,HP:0001371,Flexion contracture,7.063989130852089,0.11577719789211506
58,HP:0001371,Flexion contracture,HP:0000694,Odontodysplasia,7.063989130852089,0.11577719789211506
59,HP:0032505,Hydrophobia,HP:0030443,Anal margin basal cell carcinoma,6.503688684365201,0.11618033799348515
60,HP:0030443,Anal margin basal cell carcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.11618033799348515
61,HP:0033566,Abnormal ventricular axis,HP:0011896,Subconjunctival hemorrhage,6.239273048133048,0.11636394403030467
62,HP:0011896,Subconjunctival hemorrhage,HP:0033566,Abnormal ventricular axis,6.239273048133048,0.11636394403030467
63,HP:0032505,Hydrophobia,HP:0040273,Adenocarcinoma of the intestines,6.503688684365201,0.11673893443642806
64,HP:0040273,Adenocarcinoma of the intestines,HP:0032505,Hydrophobia,6.503688684365201,0.11673893443642806
65,HP:0032505,Hydrophobia,HP:0006771,Duodenal adenocarcinoma,6.503688684365201,0.11704237498574013
66,HP:0006771,Duodenal adenocarcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.11704237498574013
67,HP:0030447,Merkel cell skin cancer,HP:0000044,Hypogonadotropic hypogonadism,6.060935806874535,0.11704379258819697
68,HP:0000044,Hypogonadotropic hypogonadism,HP:0030447,Merkel cell skin cancer,6.060935806874535,0.11704379258819697
69,HP:0030447,Merkel cell skin cancer,HP:0031279,Abnormal response to gonadotropin-releasing hormone stimulation test,6.060935806874535,0.11742395412516007
70,HP:0031279,Abnormal response to gonadotropin-releasing hormone stimulation test,HP:0030447,Merkel cell skin cancer,6.060935806874535,0.11742395412516007
71,HP:0025482,Positive perchlorate discharge test,HP:0034549,Adrenal leiomyoma,6.060935806874535,0.11770109895740209
72,HP:0034549,Adrenal leiomyoma,HP:0025482,Positive perchlorate discharge test,6.060935806874535,0.11770109895740209
73,HP:0032582,Renal interstitial foam cells,HP:0020038,Vertebrobasilar dolichoectasia,6.8276911074904225,0.1192555608472071
74,HP:0020038,Vertebrobasilar dolichoectasia,HP:0032582,Renal interstitial foam cells,6.8276911074904225,0.1192555608472071
75,HP:0033570,Indeterminate ventricular axis,HP:0002249,Melena,6.239273048133048,0.11971121151440986
76,HP:0002249,Melena,HP:0033570,Indeterminate ventricular axis,6.239273048133048,0.11971121151440986
77,HP:0030447,Merkel cell skin cancer,HP:0000134,Female hypogonadism,6.060935806874535,0.11999230503299167
78,HP:0000134,Female hypogonadism,HP:0030447,Merkel cell skin cancer,6.060935806874535,0.11999230503299167
79,HP:0032505,Hydrophobia,HP:0030153,Cholangiocarcinoma,6.503688684365201,0.11999519871502162
80,HP:0030153,Cholangiocarcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.11999519871502162
81,HP:0031671,Typical atrial flutter,HP:0011695,Cerebellar hemorrhage,6.239273048133048,0.12045657787868183
82,HP:0011695,Cerebellar hemorrhage,HP:0031671,Typical atrial flutter,6.239273048133048,0.12045657787868183
83,HP:0010310,Chylothorax,HP:0004904,Maturity-onset diabetes of the young,7.462816402949674,0.12105969530404576
84,HP:0004904,Maturity-onset diabetes of the young,HP:0010310,Chylothorax,7.462816402949674,0.12105969530404576
85,HP:0031671,Typical atrial flutter,HP:0001342,Cerebral hemorrhage,6.239273048133048,0.12117373469543247
86,HP:0001342,Cerebral hemorrhage,HP:0031671,Typical atrial flutter,6.239273048133048,0.12117373469543247
87,HP:0032102,Wilson sign,HP:0033258,Sudden unexpected death in epilepsy,7.85916933896359,0.12130358112322566
88,HP:0033258,Sudden unexpected death in epilepsy,HP:0032102,Wilson sign,7.85916933896359,0.12130358112322566
89,HP:0040275,Adenocarcinoma of the large intestine,HP:0032505,Hydrophobia,6.503688684365201,0.12155332270501501
90,HP:0032505,Hydrophobia,HP:0040275,Adenocarcinoma of the large intestine,6.503688684365201,0.12155332270501501
91,HP:0040223,Pulmonary hemorrhage,HP:0025075,Increased QRS voltage,6.239273048133048,0.12270816425041996
92,HP:0025075,Increased QRS voltage,HP:0040223,Pulmonary hemorrhage,6.239273048133048,0.12270816425041996
93,HP:0030444,Anal margin melanoma,HP:0032505,Hydrophobia,6.503688684365201,0.12289658043386362
94,HP:0032505,Hydrophobia,HP:0030444,Anal margin melanoma,6.503688684365201,0.12289658043386362
95,HP:0025420,Diffuse alveolar hemorrhage,HP:0006677,Prolonged QRS complex,6.239273048133048,0.12311209891494317
96,HP:0006677,Prolonged QRS complex,HP:0025420,Diffuse alveolar hemorrhage,6.239273048133048,0.12311209891494317
97,HP:0031671,Typical atrial flutter,HP:0002249,Melena,6.239273048133048,0.12353904385282538
98,HP:0002249,Melena,HP:0031671,Typical atrial flutter,6.239273048133048,0.12353904385282538
99,HP:0030438,Anal canal squamous cell carcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.12356045156772648
100,HP:0032505,Hydrophobia,HP:0030438,Anal canal squamous cell carcinoma,6.503688684365201,0.12356045156772648
101,HP:0025436,Elevated serum 11-deoxycortisol,HP:0030447,Merkel cell skin cancer,6.060935806874535,0.12362098899953501
