rank,subject,subject_label,object,object_label,resnik,cosine
1,HP:0032505,Hydrophobia,HP:0004799,Jejunoileal diverticula,6.503688684365201,0.12700810242939925
2,HP:0004799,Jejunoileal diverticula,HP:0032505,Hydrophobia,6.503688684365201,0.12700810242939925
3,HP:0030411,Jejunal adenocarcinoma,HP:0032505,Hydrophobia,6.503688684365201,0.16628203731453595
4,HP:0032505,Hydrophobia,HP:0030411,Jejunal adenocarcinoma,6.503688684365201,0.16628203731453595
5,HP:0008315,Decreased plasma free carnitine,HP:0031926,Homer Wright rosette,6.6751691523095555,0.16758956540383446
6,HP:0031926,Homer Wright rosette,HP:0008315,Decreased plasma free carnitine,6.6751691523095555,0.16758956540383446
7,HP:0032505,Hydrophobia,HP:0002245,Meckel diverticulum,6.503688684365201,0.17273166510249632
8,HP:0002245,Meckel diverticulum,HP:0032505,Hydrophobia,6.503688684365201,0.17273166510249632
9,HP:0006719,Benign gastrointestinal tract tumors,HP:0032505,Hydrophobia,6.503688684365201,0.1796627646145802
10,HP:0032505,Hydrophobia,HP:0006719,Benign gastrointestinal tract tumors,6.503688684365201,0.1796627646145802
11,HP:0006380,Knee flexion contracture,HP:0033776,Enamel pearls,7.063989130852089,0.18327542374090927
12,HP:0033776,Enamel pearls,HP:0006380,Knee flexion contracture,7.063989130852089,0.18327542374090927
13,HP:0012318,Occipital neuralgia,HP:0032142,Fetor hepaticus,7.85916933896359,0.18417086346349243
14,HP:0032142,Fetor hepaticus,HP:0012318,Occipital neuralgia,7.85916933896359,0.18417086346349243
15,HP:0032505,Hydrophobia,HP:0031369,Colon perforation,6.503688684365201,0.1845639889619821
16,HP:0031369,Colon perforation,HP:0032505,Hydrophobia,6.503688684365201,0.1845639889619821
17,HP:0007024,Pseudobulbar paralysis,HP:0012028,Hepatocellular adenoma,6.503688684365201,0.18684219342774755
18,HP:0012028,Hepatocellular adenoma,HP:0007024,Pseudobulbar paralysis,6.503688684365201,0.18684219342774755
19,HP:0008315,Decreased plasma free carnitine,HP:0031928,True ependymal rosette,6.6751691523095555,0.18777814726194686
20,HP:0031928,True ependymal rosette,HP:0008315,Decreased plasma free carnitine,6.6751691523095555,0.18777814726194686
21,HP:0004800,Duodenal diverticula,HP:0032505,Hydrophobia,6.503688684365201,0.1901716062137047
22,HP:0032505,Hydrophobia,HP:0004800,Duodenal diverticula,6.503688684365201,0.1901716062137047
23,HP:0005165,Shortened PR interval,HP:0011695,Cerebellar hemorrhage,6.239273048133048,0.19062846080267423
24,HP:0011695,Cerebellar hemorrhage,HP:0005165,Shortened PR interval,6.239273048133048,0.19062846080267423
25,HP:0006723,Intestinal carcinoid,HP:0032505,Hydrophobia,6.503688684365201,0.19090248491844541
